bill_name,caption,filer_id,filer_name,function,session
HR 112,Commending the Honorable Gibson D. (Gib) Lewis on his long and distinguished tenure as speaker of the Texas House of Representatives and extending sincere appreciation to him for his many years of outstanding service on behalf of the legislature and the citizens of Texas.,None,Randy Pennington,coauthor,724
SCR 12,In memory of Thomas Brazelton Steely.,None,Randy Pennington,sponsor,724
HR 224,Honoring the Rice Temple Baptist Church.,None,Randy Pennington,author,721
HB 1511,Relating to the repeal of the disqualification for unemployment compensation benefits based on the receipt of certain social security benefits.,None,Randy Pennington,author,72R
HB 1512,Relating to the liability of reimbursing employers for certain unemployment compensation benefit claims.,None,Randy Pennington,author,72R
HB 1513,Relating to the transfer of a student from a school located near a federal superfund site.,None,Randy Pennington,author,72R
HB 2879,Relating to an alternative insurance system to protect certain employees who incur injuries in the course and scope of their employment.,None,Randy Pennington,author,72R
HCR 204,"In memory of Captain Manley Lanier ""Sonny"" Carter, Jr.",None,Randy Pennington,author,72R
HR 203,In memory of Trooper Mark Jeffrey Phebus.,None,Randy Pennington,author,72R
HB 583,Relating to motor vehicle insurance coverage and liability for motor vehicle accidents.,None,Randy Pennington,author,72R
HB 2,"Relating to the regulation of the insurance industry, the punishment for certain criminal offenses relating to the business of insurance, maintaining motor vehicle financial responsibility, and creating certain offenses.",None,Randy Pennington,coauthor,72R
HB 12,"Relating to the eligibility of felons for release on probation, parole, or mandatory supervision.",None,Randy Pennington,coauthor,72R
HB 13,Relating to the recovery of costs by a county for the confinement of state inmates in the county jail.,None,Randy Pennington,coauthor,72R
HB 88,"Relating to the prevention and cleanup of pollutant spills and the costs, damages, and liability arising from such spills and to derelict vessels and structures; levying a coastal protection excise tax; creating the coastal protection fund; creating offenses and providing civil and criminal penalties.",None,Randy Pennington,coauthor,72R
HB 532,Relating to basic group health insurance coverage for certain small employers.,None,Randy Pennington,coauthor,72R
HB 1868,Relating to a binding referendum conducted by a mass transit authority.,None,Randy Pennington,coauthor,72R
HB 2243,Relating to the regulation of visitors in the Capitol and on the grounds of the Capitol by the State Preservation Board.,None,Randy Pennington,coauthor,72R
HCR 11,Honoring Representative Al Price.,None,Randy Pennington,coauthor,715
HR 140,In memory of Dr. Stephanie Pardue.,None,Randy Pennington,author,714
HR 130,Congratulating Melinda Holley McDaniel.,None,Randy Pennington,author,712
HB 1268,Relating to the procedures for withdrawal of certain units of a metropolitan transit authority from the authority.,None,Randy Pennington,author,71R
HB 1595,Relating to information on and permits for solid waste facilities that receive waste from outside the county in which the facility is located.,None,Randy Pennington,author,71R
HB 1596,Relating to the abolishment of school district county-unit systems.,None,Randy Pennington,author,71R
HB 1946,Relating to the creation of the Gulf Coast Environmental Research Consortium.,None,Randy Pennington,author,71R
HB 2272,Relating to the regulation and taxation of bingo and bingo receipts; providing administrative and enforcement procedures and civil and criminal penalties.,None,Randy Pennington,author,71R
HB 2273,Relating to payments made by members of the Teacher Retirement System of Texas to establish equivalent membership service credit in the system for certain employment or to reinstate in the system service....,None,Randy Pennington,author,71R
HB 2467,Relating to a non-binding referendum on the establishment of English as the official language in which the business and affairs of the government are conducted in Texas.,None,Randy Pennington,author,71R
HCR 101,Requesting the Division of Emergency Management to evaluate emergency evacuation policies involving Interstate 45 from Galveston to Conroe.,None,Randy Pennington,author,71R
HCR 201,Requesting Congress to grant funds for the launch of Space Station Freedom before 1996.,None,Randy Pennington,author,71R
HR 484,Congratulating the League City Clear Lake High School boys' basketball team.,None,Randy Pennington,author,71R
HR 489,Congratulating The University of Texas Lady Longhorns volleyball team.,None,Randy Pennington,author,71R
HB 1,"Relating to the reform of the workers' compensation system; to the creation, powers, and duties of the Texas Workers' Compensation Commission; to work safety; authorizing an appropriation; providing criminal and....",None,Randy Pennington,coauthor,71R
HB 6,"Relating to the punishment imposed for persons convicted of certain repeat felony offenses under the Texas Controlled Substances Act, and the availability of release on parole and mandatory supervision for those....",None,Randy Pennington,coauthor,71R
HB 9,"Relating to the offenses of aggravated assault and deadly assault on a peace officer, member or employee of the Board of Pardons and Paroles, or jailer or guard, or probation officer or employee of an adult....",None,Randy Pennington,coauthor,71R
HB 10,Relating to the punishment of murder during the commission or attempted commission of certain aggravated felonies under the Texas Controlled Substances Act as a capital offense.,None,Randy Pennington,coauthor,71R
HB 11,Relating to the admissibility of certain statements made by the accused in criminal proceedings.,None,Randy Pennington,coauthor,71R
HB 12,Relating to the admissibility of evidence in criminal cases.,None,Randy Pennington,coauthor,71R
HB 13,Relating to the making of payments to a crime stoppers program as a condition of probation.,None,Randy Pennington,coauthor,71R
HB 93,Relating to the creation and funding of certain local programs for the assistance of crime victims.,None,Randy Pennington,coauthor,71R
HB 105,Relating to the reenactment of the law relating to jury instructions on good conduct time and parole.,None,Randy Pennington,coauthor,71R
HB 149,Relating to the establishment and maintenance of artifical reefs; establishing an artificial reef fund; making an appropriation.,None,Randy Pennington,coauthor,71R
HB 256,Relating to the authority of a municipality to annex certain political subdivisions and to the authority of the subdivisions' governing bodies to continue in existence after the annexation.,None,Randy Pennington,coauthor,71R
HB 458,Relating to smoking in public places or at public meetings; providing penalties.,None,Randy Pennington,coauthor,71R
HB 474,Relating to actions that constitute the practice of chiropractic and certain activities that chiropractors may not perform.,None,Randy Pennington,coauthor,71R
HB 548,Relating to exempting from sales and use taxes certain garbage collection service provided to a nonprofit homeowners' association.,None,Randy Pennington,coauthor,71R
HB 589,Relating to the requirement that certain home-rule municipalities obtain the consent of the voters in certain subdivisions before annexing the subdivisions.,None,Randy Pennington,coauthor,71R
HB 631,Relating to an emergency appropriation to defray the expense of staff group insurance at public junior and community colleges.,None,Randy Pennington,coauthor,71R
HB 654,Relating to the compensation of certain crime victims.,None,Randy Pennington,coauthor,71R
HB 656,Relating to costs imposed on conviction of certain offenses to provide funds for victims of crime.,None,Randy Pennington,coauthor,71R
HB 700,Relating to the abolition of temporary furloughs for inmates of the Texas Department of Corrections.,None,Randy Pennington,coauthor,71R
HB 812,Relating to requirements concerning beverage containers; providing penalties.,None,Randy Pennington,coauthor,71R
HB 818,Relating to the provision of extended metropolitan calling telephone service in certain counties.,None,Randy Pennington,coauthor,71R
HB 906,Relating to the prohibition of sex-selection abortions; providing a penalty.,None,Randy Pennington,coauthor,71R
HB 987,Relating to the consent to abortion for certain minors; providing penalties.,None,Randy Pennington,coauthor,71R
HB 1462,Relating to the authority of the Parks and Wildlife Commission to regulate the sale and consumption of alcoholic beverages in an area of Galveston State Park assigned to a concessioner.,None,Randy Pennington,coauthor,71R
HB 1980,Relating to the personal civil liability of a member of the emergency management council or a local emergency planning committee.,None,Randy Pennington,coauthor,71R
HB 2006,Relating to certain formula adjustments to foundation school program basic allotments based on size and pupil density of certain school districts.,None,Randy Pennington,coauthor,71R
HB 2007,Relating to the Price Differential Index of the Foundation School Program.,None,Randy Pennington,coauthor,71R
HB 2166,Relating to spills or releases of hazardous substances into waters in this state.,None,Randy Pennington,coauthor,71R
HB 2167,Relating to the annual reporting of toxic chemical releases.,None,Randy Pennington,coauthor,71R
HB 2246,"Relating to the amount, collection, and disposition of costs for drug abuse prevention and education assessed a defendant convicted of an offense under the Texas Controlled Substances Act, of public intoxication..",None,Randy Pennington,coauthor,71R
HB 2468,Relating to control of emissions of air contaminants from commercial infectious waste incinerators.,None,Randy Pennington,coauthor,71R
HB 2775,Relating to the requirement that a certain ratio of police-to-inhabitants be present before certain municipalities may annex territory.,None,Randy Pennington,coauthor,71R
HB 2979,Relating to the regulation of hazardous waste management in Texas; restricting hazardous waste from disposal at municipal solid waste facilities.,None,Randy Pennington,coauthor,71R
HB 2980,"Relating to the imposition of fees on the storage, processing and disposal of hazardous waste at commercial hazardous waste storage, processing and disposal facilities in the state.",None,Randy Pennington,coauthor,71R
HCR 52,Reauthorizing the construction of a memorial honoring veterans of the Korean War and the war in Southeast Asia.,None,Randy Pennington,coauthor,71R
HCR 150,"Requesting that the federal government implement policies to insure that each state develop adequate and environmentally sound options for the storage, processing and disposal of hazardous wastes.",None,Randy Pennington,coauthor,71R
HCR 151,"Directing the Texas Water Commission to explore the efficacy of entering into a compact with the states of Oklahoma, Louisiana, and Arkansas and such other states for the purposes of establishing....",None,Randy Pennington,coauthor,71R
HCR 188,Recognizing the University of Houston-Clear Lake for their aerospace program.,None,Randy Pennington,coauthor,71R
HJR 27,Proposing a constitutional amendment to reserve to the people the power of initiative.,None,Randy Pennington,coauthor,71R
HJR 31,Proposing a constitutional amendment to reserve to the people the power of referendum.,None,Randy Pennington,coauthor,71R
HJR 48,Proposing a constitutional amendment relating to the establishment of English as the official language of Texas.,None,Randy Pennington,coauthor,71R
HR 596,Honoring Governor William P. Clements on his birthday.,None,Randy Pennington,coauthor,71R
SB 1713,Relating to the use of certain municipal hotel occupancy tax revenue for manned space flight tourism facilities.,None,Randy Pennington,sponsor,71R
